disbursement_month,district_id,program_code,coverage_program,funding_source,payee_type,disbursement_count,paid_disbursements,pending_disbursements,failed_disbursements,total_disbursement_amount,avg_payment_cycle_days
2025-06-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,1,1,0,281.11,21.5
2025-06-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,2,1,1,0,138.52,9.5
2025-06-01,D02,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,10,6,4,0,5880.04,18.5
2025-06-01,D02,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,1,1,0,133.29,24.0
2025-06-01,D02,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,1,0,1,0,0.00,17.0
2025-06-01,D02,SAP,Senior Access Plan,National Senior Fund,Provider Facility,9,1,8,0,119.01,19.7
2025-06-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,1,1,0,0,123.79,15.0
2025-06-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,1,0,0,313.38,8.0
2025-06-01,D02,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,5,4,1,0,1289.54,20.0
2025-06-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,5,3,2,0,7798.32,14.6
2025-06-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,3,3,0,0,668.66,17.7
2025-06-01,D03,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,20,13,6,1,4818.69,17.4
2025-06-01,D03,ECP,Essential Care Plan,State Health Fund,Accredited Partner,3,2,1,0,1064.51,22.0
2025-06-01,D03,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,1,0,1,0,0.00,20.0
2025-06-01,D03,ECP,Essential Care Plan,State Health Fund,Provider Facility,19,10,9,0,2332.99,17.3
2025-06-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,2,1,1,0,175.29,7.0
2025-06-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Member Reimbursement,2,2,0,0,287.67,23.5
2025-06-01,D03,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,16,10,5,1,3224.73,17.4
2025-06-01,D03,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,1,1,0,286.53,21.0
2025-06-01,D03,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,3,0,2,1,0.00,16.0
2025-06-01,D03,SAP,Senior Access Plan,National Senior Fund,Provider Facility,12,5,6,1,5429.15,18.2
2025-06-01,D03,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,1,0,0,111.15,8.0
2025-06-01,D03,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,12,8,4,0,1288.09,19.6
2025-06-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,2,1,1,0,112.73,19.5
2025-06-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,1,0,1,0,0.00,14.0
2025-06-01,D04,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,10,4,6,0,2169.06,19.4
2025-06-01,D04,ECP,Essential Care Plan,State Health Fund,Accredited Partner,3,3,0,0,6934.37,24.3
2025-06-01,D04,ECP,Essential Care Plan,State Health Fund,Member Reimbursement,4,2,2,0,287.17,13.0
2025-06-01,D04,ECP,Essential Care Plan,State Health Fund,Provider Facility,19,12,7,0,10760.02,14.9
2025-06-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Accredited Partner,3,1,1,1,576.40,11.3
2025-06-01,D04,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,14,6,8,0,1329.19,21.2
2025-06-01,D04,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,0,2,0,0.00,17.5
2025-06-01,D04,SAP,Senior Access Plan,National Senior Fund,Provider Facility,7,2,4,1,546.79,21.1
2025-06-01,D04,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,5,1,4,0,128.15,17.4
2025-06-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Accredited Partner,1,1,0,0,865.48,19.0
2025-06-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Member Reimbursement,2,1,1,0,99.70,17.5
2025-06-01,D05,CCS,Chronic Care Support,Integrated Care Fund,Provider Facility,8,5,3,0,7063.17,16.1
2025-06-01,D05,ECP,Essential Care Plan,State Health Fund,Accredited Partner,1,1,0,0,5749.77,9.0
2025-06-01,D05,ECP,Essential Care Plan,State Health Fund,Provider Facility,16,8,7,1,2248.96,19.2
2025-06-01,D05,MCH,Maternal and Child Health,Maternal Child Grant,Provider Facility,4,2,2,0,354.99,16.5
2025-06-01,D05,SAP,Senior Access Plan,National Senior Fund,Accredited Partner,2,0,2,0,0.00,15.0
2025-06-01,D05,SAP,Senior Access Plan,National Senior Fund,Member Reimbursement,2,2,0,0,1743.30,20.5
2025-06-01,D05,SAP,Senior Access Plan,National Senior Fund,Provider Facility,4,1,3,0,106.26,17.5
2025-06-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Accredited Partner,1,0,1,0,0.00,5.0
2025-06-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Member Reimbursement,1,0,1,0,0.00,9.0
2025-06-01,D05,WFP,Worker Family Plan,Employer Partnership Fund,Provider Facility,8,4,4,0,7058.30,19.6
